"gene","GSM223386","GSM223387","GSM223388","GSM223389","GSM223390","GSM223391","GSM223392","GSM223393","GSM223394","GSM223395","GSM223396","GSM223397","GSM223398","GSM223399","GSM2233100","GSM2233101","GSM2233102","GSM2233103","GSM2233104","GSM2233105","GSM2233106","GSM2233107","GSM2233108","GSM2233109","GSM2233110","GSM2233111","GSM2233112","GSM2233113"
"Gene_1",5.00386627709398,5.62772144622932,5.62263913662578,5.05885253624093,5.41107365995943,5.90268854007524,6.15116542018837,5.67340645754433,5.65357953764627,5.1169432243711,5.29074640338239,5.46134565177258,5.02930745404894,5.72605700124744,5.20656368360569,5.66261674626963,5.57667971060672,6.03229795979854,5.25915049462513,5.19432925148985,5.64521640154006,5.88597899964394,5.30578913257987,5.85414355742427,5.39730038993,5.37453110068664,5.14732048432466,5.04915367631903
"Gene_2",5.51743536385251,6.5318399444802,5.94753733108134,5.90287120310488,5.94547466587214,5.8620759667165,6.18607177168253,5.09307754456309,5.96346226569773,6.03373927033645,5.67186899887971,5.36037307496484,6.1362193336928,5.413213880775,6.09007145312063,6.13715897892538,5.3951948968624,5.58874225191343,5.20950753691843,5.07047359851545,5.83393352651399,6.47778415447246,5.66023756060665,4.81885974035971,5.3756068654918,5.99894712246055,5.80339478232273,6.17672221015056
"Gene_3",8.11683368972755,7.03070970355436,7.48242694109118,7.6231988546796,7.34883983436126,7.30873695913236,8.83232610377565,7.94157402382612,7.53869340699407,8.52850397061374,7.38120858940251,7.19231661667441,7.67865441420358,7.98177398252631,6.93133846584714,7.88876820525644,7.75482937121795,7.53063062442698,7.52024303371714,7.37724976452632,7.74611836316118,8.18883139688412,7.16576005977398,6.75652518685462,7.14951477728995,7.30143039751166,7.28134244883865,6.98397093668601
"Gene_4",6.04772017790324,5.76331256218746,5.68736863456431,6.59012837809801,6.30693315518918,6.70216661614781,6.13975034082176,6.00775161020895,6.63042173390958,5.9269337671907,6.11749222527537,5.93889285925591,5.93789008814423,6.09820298256578,6.18182635674672,6.109270084905,5.59627173181044,6.1865221465308,5.73615077006714,5.77183681500607,6.27461769188035,5.73174983589645,5.937260030935,6.54933945692301,6.04412401288359,5.85105744698325,6.0244197076558,6.19172666951476
"Gene_5",5.41782407566337,5.86908268765113,5.81823915801275,5.32181227152798,6.17930128862699,6.26882172323158,5.84675913820566,6.43394353821969,6.11185994083635,5.6138012410209,5.94211734559086,6.72224882254439,6.37205978962554,6.28334966463584,6.59668305866077,6.66594385315849,5.80028717003794,5.74641954666403,6.00647311172305,6.19600025050265,6.70519223850884,6.08928215158542,5.24971843348746,6.43669070791366,6.00135261846465,5.89894390799587,6.95516944881828,6.12524866637996
"Gene_6",7.31968781793,8.59250101450898,8.15826300327512,7.77770311622334,7.51925183839832,7.36962140663783,7.83280634225807,7.78124795467946,7.79579997579879,7.45395522850447,7.544186432348,8.29619189979987,7.82230613488239,7.39247192460206,7.22289261671375,7.86422962496678,7.6606102380093,7.96300501671076,8.04538131954935,7.41206092260494,6.84541512719156,8.05567485948575,7.11989451193998,7.41589299851676,7.25028996384449,7.96716091874487,7.07942910922511,8.1537296401247
"Gene_7",6.3793736174322,6.62874942170775,5.68713857769638,6.0637448660868,6.33671215967453,5.59509737185761,6.29202540471336,6.20588869995702,6.73364808215057,6.30466210539928,6.8647146802842,6.80363039550045,6.17047422002874,6.01941535158967,6.78335975333921,6.92543190828468,7.03064544985671,6.62026129224064,6.14725860405214,6.60585706904342,6.19995445938947,6.1199059378634,6.72122755125068,7.24238335794842,6.53413539396678,6.39520787315034,6.68042619016692,5.73095717231787
"Gene_8",4.62987056404875,5.29681248321249,4.60992121779462,4.88977201322402,4.76437820899661,5.15561927346362,5.16014588111136,4.98410095032834,4.90534696006507,4.90838692131701,5.30814176972274,4.88937254066723,4.73188401722548,5.2514680871767,5.18520580748177,4.3340348159092,5.08813968980036,4.29286567373047,4.97977214975349,4.97171716675235,4.90081904810485,4.68706289974022,4.62298580653646,4.76454085006745,4.69132376172577,5.03144971626203,4.82669696367685,5.0362567845331
"Gene_9",5.57454545438418,5.33270270437819,6.0224426008775,5.69043693546096,5.29776443062274,5.2694202988319,5.91042108435756,5.28499637947134,5.34635601116086,5.11941951308021,5.3593599898103,5.25781261668914,5.44307727344597,5.28564089118494,4.96491625000211,4.38765283854671,5.29245986294852,4.76721446922075,5.67652622762337,5.28415238412569,5.0132568333656,5.20703363816067,5.18450472015129,4.8327994168235,4.85403884792277,4.51653187768927,5.45488802668622,5.1713994601411
"Gene_10",6.06040540398537,5.72425794285565,5.69848092505198,5.81367697038967,5.32088225367601,5.06641401729328,4.7567065149678,5.59723204380195,6.31522193845976,5.1767149532401,6.91048635840866,5.55418417041363,5.63733019284222,6.09138759790247,5.89426068890452,5.35292791512633,6.04416215472971,5.84101135827557,5.2736162564846,5.25447059626656,5.41385953807743,5.36292674571992,4.86348961524196,5.72982673013469,5.25970673699129,5.28269312171689,5.80330194305449,4.87315209584187
